what becomes of the brokenhearted,jimmy ruffin
strangers in the night,frank sinatra
we can work it out,the beatles
good lovin,the young rascals
winchester cathedral,new vaudeville band
hanky panky,tommy james and the shondells
when a man loves a woman,percy sledge
paint it black,the rolling stones
my love,petula clark
lightnin strikes,lou christie
wild thing,the troggs
kicks,paul revere  the raiders
sunshine superman,donovan
sunny,bobby hebb
paperback writer,the beatles
see you in september,the happenings
you keep me hangin on,the supremes
lil red riding hood,sam the sham and the pharaohs
devil with a blue dress ongood golly miss molly,mitch ryder  the detroit wheels
good vibrations,the beach boys
a groovy kind of love,the mindbenders
you dont have to say you love me,dusty springfield
cool jerk,the capitols
born a woman,sandy posey
red rubber ball,the cyrkle
baby,carla thomas
walk away renee,the left banke
daydream,the lovin spoonful
time wont let me,the outsiders
hooray for hazel,tommy roe
sweet pea,tommy roe
bus stop,the hollies
im your puppet,james  bobby purify
im so lonesome i could cry,bj thomas
aint too proud to beg,the temptations
dirty water,the standells
elusive butterfly,bob lind
i am a rock,simon  garfunkel
crying time,ray charles
secret agent man,johnny rivers
the sound of silence,simon  garfunkel
lady godiva,peter and gordon
homeward bound,simon  garfunkel
did you ever have to make up your mind,the lovin spoonful
barefootin,robert parker
uptight everythings alright,stevie wonder
bang bang my baby shot me down,cher
sloop john b,the beach boys
19th nervous breakdown,the rolling stones
wipe out,the surfaris
psychotic reaction,count five
beauty is only skin deep,the temptations
no matter what shape your stomachs in,the tbones
just like me,paul revere  the raiders
love makes the world go round,deon jackson
the pied piper,crispian st peters
coming on strong,brenda lee
somewhere my love,ray conniff singers
almost persuaded,david houston
if i were a carpenter,bobby darin
dont mess with bill,the marvelettes
cherry cherry,neil diamond
working in the coal mine,lee dorsey
message to michael,dionne warwick
love is a hurtin thing,lou rawls
barbara ann,the beach boys
gloria,shadows of knight
my world is empty without you,the supremes
rainy day women 12  35,bob dylan
guantanamera,the sandpipers
land of 1000 dances,wilson pickett
oh how happy,the shades of blue
woman,peter and gordon
you baby,the turtles
five oclock world,the vogues
black is black,los bravos
nowhere man,the beatles
dandy,hermans hermits
baby scratch my back,slim harpo
shes just my style,gary lewis  the playboys
the more i see you,chris montez
i fought the law,bobby fuller four
yellow submarine,the beatles
hungry,paul revere  the raiders
zorba the greek,herb alpert and the tijuana brass
shapes of things,the yardbirds
6345789 soulsville usa,wilson pickett
to sir with love,lulu
the letter,the box tops
ode to billie joe,bobbie gentry
windy,the association
im a believer,the monkees
light my fire,the doors
somethin stupid,frank  nancy sinatra
happy together,the turtles
groovin,the young rascals
cant take my eyes off you,frankie valli
little bit o soul,the music explosion
i think were alone now,tommy james and the shondells
respect,aretha franklin
i was made to love her,stevie wonder
come back when you grow up,bobby vee
kind of a drag,the buckinghams
sweet soul music,arthur conley
expressway to your heart,the soul survivors
soul man,sam  dave
never my love,the association
apples peaches pumpkin pie,jay  the techniques
come on down to my boat,every mothers son
incense and peppermints,strawberry alarm clock
ruby tuesday,the rolling stones
it must be him,vikki carr
love is here and now youre gone,the supremes
for what its worth,buffalo springfield
gimme little sign,brenton wood
the happening,the supremes
all you need is love,the beatles
release me,engelbert humperdinck
your precious love,marvin gaye  tammi terrell
somebody to love,jefferson airplane
get on up,the esquires
brown eyed girl,van morrison
jimmy mack,martha and the vandellas
i got rhythm,the happenings
a whiter shade of pale,procol harum
dont you care,the buckinghams
then you can tell me goodbye,the casinos
reflections,the supremes
on a carousel,the hollies
please love me forever,bobby vinton
alfie,dionne warwick
silence is golden,the tremeloes
my cup runneth over,ed ames
up up and away,the 5th dimension
san francisco be sure to wear flowers in your hair,scott mckenzie
the rain the park  other things,the cowsills
theres a kind of hush,hermans hermits
mercy mercy mercy,the buckinghams
this is my song,petula clark
your love keeps lifting me higher and higher,jackie wilson
ive been lonely too long,the young rascals
penny lane,the beatles
youre my everything,the temptations
georgy girl,the seekers
western union,five americans
baby i love you,aretha franklin
a little bit me a little bit you,the monkees
california nights,lesley gore
dedicated to the one i love,the mamas  the papas
how can i be sure,the young rascals
carrie anne,the hollies
we aint got nothin yet,blues magoos
friday on my mind,the easybeats
soul finger,the barkays
gimme some lovin,the spencer davis group
let it out let it all hang out,the hombres
lets live for today,the grass roots
close your eyes,peaches  herb
groovin,booker t  the mgs
funky broadway,wilson pickett
pleasant valley sunday,the monkees
i never loved a man the way i love you,aretha franklin
tell it like it is,aaron neville
cold sweat,james brown
shed rather be with me,the turtles
986,keith
here we go again,ray charles
white rabbit,jefferson airplane
bernadette,four tops
the beat goes on,sonny  cher
snoopy vs the red baron,the royal guardsmen
societys child,janis ian
girl youll be a woman soon,neil diamond
aint no mountain high enough,marvin gaye  tammi terrell
i take it back,sandy posey
here comes my baby,the tremeloes
everlasting love,robert knight
i dig rock and roll music,peter paul and mary
little ole man uptight everythings alright,bill cosby
i had too much to dream last night,the electric prunes
daydream believer,the monkees
baby i need your lovin,johnny rivers
mirage,tommy james and the shondells
green green grass of home,tom jones
i can see for miles,the who
dont sleep in the subway,petula clark
thank the lord for the night time,neil diamond
hey jude,the beatles
love is blue,paul mauriat
honey,bobby goldsboro
sittin on the dock of the bay,otis redding
people got to be free,the rascals
sunshine of your love,cream
this guys in love with you,herb alpert
the good the bad and the ugly,hugo montenegro
mrs robinson,simon  garfunkel
tighten up,archie bell  the drells
harper valley pta,jeannie c riley
little green apples,o c smith
mony mony,tommy james and the shondells
hello i love you,the doors
young girl,gary puckett  the union gap
cry like a baby,the box tops
stoned soul picnic,the 5th dimension
grazing in the grass,hugh masekela
midnight confessions,the grass roots
dance to the music,sly  the family stone
the horse,cliff nobles
i wish it would rain,the temptations
lala means i love you,the delfonics
turn around look at me,the vogues
judy in disguise with glasses,john fred  his playboy band
spooky,classics iv
love child,the supremes
angel of the morning,merrilee rush
the ballad of bonnie and clyde,georgie fame
those were the days,mary hopkin
born to be wild,steppenwolf
cowboys to girls,the intruders
simon says,1910 fruitgum company
lady willpower,gary puckett  the union gap
a beautiful morning,the rascals
the look of love,sergio mendes
hold me tight,johnny nash
yummy yummy yummy,ohio express
fire,the crazy world of arthur brown
love is all around,the troggs
playboy,gene  debbe
theme from valley of the dolls,dionne warwick
classical gas,mason williams
slip away,clarence carter
im a girl watcher,the okaysions
sweet sweet baby since youve been gone,aretha franklin
green tambourine,the lemon pipers
1 2 3 red light,1910 fruitgum company
reach out of the darkness,friend  lover
jumpin jack flash,the rolling stones
macarthur park,richard harris
light my fire,jose feliciano
i love you,people
take time to know her,percy sledge
pictures of matchstick men,status quo
summertime blues,blue cheer
aint nothing like the real thing,marvin gaye  tammi terrell
i got the feelin,james brown
ive gotta get a message to you,the bee gees
lady madonna,the beatles
hurdy gurdy man,donovan
magic carpet ride,steppenwolf
bottle of wine,the fireballs
stay in my corner,the dells
soul serenade,willie mitchell
delilah,tom jones
nobody but me,the human beinz
i thank you,sam and dave
the fool on the hill,sergio mendes
sky pilot,the animals
indian lake,the cowsills
i wonder what shes doing tonight,tommy boyce  bobby hart
over you,gary puckett  the union gap
goin out of my headcant take my eyes off you,the lettermen
shoobedoobedoodaday,stevie wonder
the unicorn,the irish rovers
you keep me hangin on,vanilla fudge
revolution,the beatles
woman woman,gary puckett  the union gap
elenore,the turtles
white room,cream
youre all i need to get by,marvin gaye  tammi terrell
baby now that ive found you,the foundations
sweet inspiration,sweet inspirations
if you can want,the miracles
cab driver,the mills brothers
time has come today,the chambers brothers
do you know the way to san jose,dionne warwick
scarborough faircanticle,simon  garfunkel
say it loud  im black and im proud,james brown
the mighty quinn,manfred mann
here comes the judge,shorty long
i say a little prayer,aretha franklin
think,aretha franklin
sealed with a kiss,gary lewis and the playboys
piece of my heart,big brother and the holding company
suzie q,creedence clearwater revival
bend me shape me,the american breed
hey western union man,jerry butler
never give you up,jerry butler
sugar sugar,the archies
aquariuslet the sunshine in,the 5th dimension
i cant get next to you,the temptations
honky tonk women,the rolling stones
everyday people,sly  the family stone
dizzy,tommy roe
hot fun in the summertime,sly  the family stone
ill never fall in love again,tom jones
build me up buttercup,the foundations
crimson and clover,tommy james and the shondells
one,three dog night
crystal blue persuasion,tommy james and the shondells
hair,the cowsills
too busy thinking about my baby,marvin gaye
love theme from romeo and juliet,henry mancini
get together,the youngbloods
grazing in the grass,the friends of distinction
suspicious minds,elvis presley
proud mary,creedence clearwater revival
what does it take to win your love,jr walker  the all stars
its your thing,the isley brothers
sweet caroline,neil diamond
jean,oliver
bad moon rising,creedence clearwater revival
get back,the beatles with billy preston
in the year 2525,zager  evans
spinning wheel,blood sweat  tears
baby i love you,andy kim
going in circles,the friends of distinction
hurt so bad,the lettermen
green river,creedence clearwater revival
my cherie amour,stevie wonder
easy to be hard,three dog night
baby its you,smith
in the ghetto,elvis presley
a boy named sue,johnny cash
baby baby dont cry,the miracles
only the strong survive,jerry butler
time of the season,the zombies
wedding bell blues,the 5th dimension
little woman,bobby sherman
love can make you happy,mercy
good morning starshine,oliver
these eyes,the guess who
youve made me so very happy,blood sweat  tears
put a little love in your heart,jackie deshannon
do your thing,the watts 103rd street rhythm band
id wait a million years,the grass roots
touch me,the doors
more today than yesterday,spiral starecase
ive gotta be me,sammy davis jr
lay lady lay,bob dylan
atlantis,donovan
traces,classics iv
its getting better,mama cass elliot
this magic moment,jay and the americans
runaway child running wild,the temptations
hawaii fiveo,the ventures
galveston,glen campbell
im gonna make you mine,lou christie
gitarzan,ray stevens
can i change my mind,tyrone davis
time is tight,booker t  the mgs
this girls in love with you,dionne warwick
color him father,the winstons
black pearl,checkmates ltd
indian giver,1910 fruitgum company
mother popcorn,james brown
twentyfive miles,edwin starr
things id like to say,new colony six
when i die,motherlode
thats the way love is,marvin gaye
everybodys talkin,harry nilsson
the worst that could happen,johnny maestro  the brooklyn bridge
the chokin kind,joe simon
smile a little smile for me,the flying machine
polk salad annie,tony joe white
ruby dont take your love to town,kenny rogers  the first edition
games people play,joe south
you showed me,the turtles
tracy,the cuff links
oh what a night,the dells
something,the beatles
this girl is a woman now,gary puckett  the union gap
come together,the beatles
ramblin gamblin man,bob seger system
im gonna make you love me,the supremes  the temptations
i heard it through the grapevine,marvin gaye
gimme gimme good lovin,crazy elephant
hang em high,booker t  the mgs
your good thing is about to end,lou rawls
baby im for real,the originals
oh happy day,edwin hawkins singers
love me tonight,tom jones
mr sun mr moon,paul revere  the raiders
laughing,the guess who
my whole world ended the moment you left me,david ruffin
soul deep,the box tops
hooked on a feeling,bj thomas
sweet cream ladies,the box tops
bridge over troubled water,simon  garfunkel
they long to be close to you,the carpenters
american woman,the guess who
raindrops keep fallin on my head,bj thomas
war,edwin starr
aint no mountain high enough,diana ross
ill be there,the jackson 5
get ready,rare earth
let it be,the beatles
band of gold,freda payne
mama told me not to come,three dog night
everything is beautiful,ray stevens
make it with you,bread
hitchin a ride,vanity fare
abc,the jackson 5
the love you save,the jackson 5
cracklin rosie,neil diamond
candida,dawn
thank you falettinme be mice elf agin,sly  the family stone
spill the wine,eric burdon  war
ooh child,five stairsteps
spirit in the sky,norman greenbaum
lay down candles in the rain,melanie
ball of confusion thats what the world is today,the temptations
love on a twoway street,the moments
which way you goin billy,the poppy family
all right now,free
i want you back,the jackson 5
julie do ya love me,bobby sherman
greeneyed lady,sugarloaf
signed sealed delivered im yours,stevie wonder
ride captain ride,blues image
venus,shocking blue
instant karma,john lennon
patches,clarence carter
lookin out my back door,creedence clearwater revival
rainy night in georgia,brook benton
somethings burning,kenny rogers  the first edition
give me just a little more time,chairmen of the board
love grows where my rosemary goes,edison lighthouse
the long and winding road,the beatles
snowbird,anne murray
reflections of my life,marmalade
hey there lonely girl,eddie holman
the rapper,the jaggerz
he aint heavy hes my brother,the hollies
tighter tighter,alive n kickin
come and get it,badfinger
cecilia,simon  garfunkel
love land,charles wright  the watts 103rd street rhythm band
turn back the hands of time,tyrone davis
lola,the kinks
in the summertime,mungo jerry
indiana wants me,r dean taylor
i know im losing you,rare earth
easy come easy go,bobby sherman
express yourself,charles wright  the watts 103rd street rhythm band
still water love,the four tops
make me smile,chicago
the house of the rising sun,frijid pink
25 or 6 to 4,chicago
my baby loves lovin,white plains
love or let me be lonely,the friends of distinction
united we stand,the brotherhood of man
weve only just begun,the carpenters
arizona,mark lindsay
fire and rain,james taylor
groovy situation,gene chandler
evil ways,santana
no time,the guess who
didnt i blow your mind this time,the delfonics
the wonder of you,elvis presley
up around the bend,creedence clearwater revival
if you let me make love to you then why cant i touch you,ronnie dyson
i just cant help believing,bj thomas
its a shame,the spinners
for the love of him,bobbi martin
mississippi queen,mountain
i want to take you higher,ike  tina turner
the letter,joe cocker
ma belle amie,tee set
the bells,the originals
yellow river,christie
somebodys been sleeping,100 proof aged in soul
vehicle,the ides of march
gimme dat ding,the pipkins
lay a little lovin on me,robin mcnamara
up the ladder to the roof,the supremes
travelin band,creedence clearwater revival
come saturday morning,the sandpipers
psychedelic shack,the temptations
without love there is nothing,tom jones
are you ready,pacific gas  electric
woodstock,crosby stills nash  young
ill never fall in love again,dionne warwick
look what theyve done to my song ma,the new seekers
walk a mile in my shoes,joe south
the thrill is gone,bb king
its only make believe,glen campbell
call me,aretha franklin
joy to the world,three dog night
maggie mayreason to believe,rod stewart
its too latei feel the earth move,carole king
one bad apple,the osmonds
how can you mend a broken heart,bee gees
indian reservation the lament of the cherokee reservation indian,paul revere  the raiders
go away little girl,donny osmond
take me home country roads,john denver
just my imagination running away with me,the temptations
knock three times,tony orlando and dawn
me and bobby mcgee,janis joplin
tired of being alone,al green
want ads,honey cone
smiling faces sometimes,the undisputed truth
treat her like a lady,cornelius brothers  sister rose
youve got a friend,james taylor
mr big stuff,jean knight
brown sugar,the rolling stones
do you know what i mean,lee michaels
the night they drove old dixie down,joan baez
whats going on,marvin gaye
uncle albertadmiral halsey,paul  linda mccartney
aint no sunshine,bill withers
signs,five man electrical band
shes a lady,tom jones
superstar,murray head  the trindad singers
ive found someone of my own,the free movement
amos moses,jerry reed
temptation eyes,the grass roots
superstar,the carpenters
my sweet lord,george harrison
sweet and innocent,donny osmond
put your hand in the hand,ocean
chickaboom dont ya jes love it,daddy dewdrop
for all we know,the carpenters
help me make it through the night,sammi smith
rainy days and mondays,the carpenters
if you could read my mind,gordon lightfoot
gypsys tramps  thieves,cher
never can say goodbye,the jackson 5
rose garden,lynn anderson
dont pull your love,hamilton joe frank  reynolds
it dont come easy,ringo starr
mr bojangles,nitty gritty dirt band
i love you for all seasons,the fuzz
whatcha see is whatcha get,the dramatics
thats the way ive always heard it should be,carly simon
if you really love me,stevie wonder
spanish harlem,aretha franklin
i dont know how to love him,helen reddy
yoyo,the osmonds
bridge over troubled water,aretha franklin
doesnt somebody want to be wanted,the partridge family
draggin the line,tommy james
proud mary,ike  tina turner
beginningscolour my world,chicago
stay awhile,the bells
sweet city woman,the stampeders
me and you and a dog named boo,lobo
another dayoh woman oh why,paul mccartney
if,bread
mercy mercy me the ecology,marvin gaye
one toke over the line,brewer  shipley
shes not just another woman,8th day
bring the boys home,freda payne
i just want to celebrate,rare earth
never ending song of love,delaney  bonnie  friends
easy loving,freddie hart
liar,three dog night
stickup,the honey cone
chirpy chirpy cheep cheep,mac and katie kissoon
where do i begin love story,andy williams
wild world,cat stevens
when youre hot youre hot,jerry reed
funky nassau,the beginning of the end
if not for you,olivia newtonjohn
groove me,king floyd
watching scotty grow,bobby goldsboro
woodstock,matthews southern comfort
amazing grace,judy collins
i hear you knocking,dave edmunds
lonely days,bee gees
here comes that rainy day feeling again,the fortunes
wont get fooled again,the who
trapped by a thing called love,denise lasalle
mamas pearl,the jackson 5
timothy,the buoys
i woke up in love this morning,the partridge family
theme from shaft,isaac hayes
if i were your woman,gladys knight  the pips
i ami said,neil diamond
the wedding song there is love,paul stookey
dont knock my love,wilson pickett
love her madly,the doors
here comes the sun,richie havens
sweet mary,wadsworth mansion
right on the tip of my tongue,brenda  the tabulations
one less bell to answer,the 5th dimension
riders on the storm,the doors
somos novios its impossible,perry como
the first time ever i saw your face,roberta flack
alone again naturally,gilbert osullivan
american pie,don mclean
without you,harry nilsson
the candy man,sammy davis jr
i gotcha,joe tex
lean on me,bill withers
baby dont get hooked on me,mac davis
brand new key,melanie
daddy dont you walk so fast,wayne newton
lets stay together,al green
brandy youre a fine girl,looking glass
oh girl,the chilites
nice to be with you,gallery
my dingaling,chuck berry
if loving you is wrong i dont want to be right,luther ingram
heart of gold,neil young
betcha by golly wow,the stylistics
ill take you there,the staple singers
ben,michael jackson
the lion sleeps tonight,robert john
outaspace,billy preston
slippin into darkness,war
long cool woman in a black dress,the hollies
how do you do,mouth  macneal
song sung blue,neil diamond
a horse with no name,america
popcorn,hot butter
everybody plays the fool,the main ingredient
precious and few,climax
last night i didnt get to sleep at all,the 5th dimension
nights in white satin,the moody blues
go all the way,raspberries
too late to turn back now,cornelius brothers  sister rose
back stabbers,the ojays
down by the lazy river,the osmonds
sunshine,jonathan edwards
starting all over again,mel and tim
day after day,badfinger
rocket man,elton john
rockin robin,michael jackson
beautiful sunday,daniel boone
scorpio,dennis coffey
morning has broken,cat stevens
city of new orleans,arlo guthrie
garden party,ricky nelson
i can see clearly now,johnny nash
burning love,elvis presley
clean up woman,betty wright
hold your head up,argent
jungle fever,the chakachas
everything i own,bread
in the rain,the dramatics
look what you done for me,al green
the happiest girl in the whole usa,donna fargo
get it on,t rex
mother and child reunion,paul simon
where is the love,roberta flack  donny hathaway
im still in love with you,al green
layla,derek and the dominos
day dreaming,aretha franklin
the way of love,cher
black and white,three dog night
sylvias mother,dr hook  the medicine show
hurting each other,the carpenters
coconut,harry nilsson
puppy love,donny osmond
you dont mess around with jim,jim croce
hot rod lincoln,commander cody and his lost planet airmen
a cowboys work is never done,sonny  cher
joy,apollo 100
anticipation,carly simon
never been to spain,three dog night
kiss an angel good mornin,charley pride
schools out,alice cooper
saturday in the park,chicago
drowning in the sea of love,joe simon
use me,bill withers
family affair,sly  the family stone
troglodyte cave man,jimmy castor bunch
the witch queen of new orleans,redbone
freddies dead,curtis mayfield
power of love,joe simon
aint understanding mellow,jerry butler  brenda lee eager
taxi,harry chapin
dont say you dont remember,beverly bremers
sealed with a kiss,bobby vinton
i saw the light,todd rundgren
motorcycle mama,sailcat
day by day,original cast of godspell
roundabout,yes
doctor my eyes,jackson browne
id like to teach the world to sing in perfect harmony,the new seekers
vincent,don mclean
baby let me take you in my arms,the detroit emeralds
speak to the sky,rick springfield
id like to teach the world to sing in perfect harmony,the hillside singers
walkin in the rain with the one i love,love unlimited
get on the good foot,james brown
pop that thang,the isley brothers
tie a yellow ribbon round the ole oak tree,tony orlando and dawn
bad bad leroy brown,jim croce
killing me softly with his song,roberta flack
lets get it on,marvin gaye
my love,paul mccartney  wings
why me,kris kristofferson
crocodile rock,elton john
will it go round in circles,billy preston
youre so vain,carly simon
touch me in the morning,diana ross
the night the lights went out in georgia,vicki lawrence
playground in my mind,clint holmes
brother louie,stories
delta dawn,helen reddy
me and mrs jones,billy paul
frankenstein,edgar winter group
drift away,dobie gray
little willy,sweet
you are the sunshine of my life,stevie wonder
halfbreed,cher
that lady,the isley brothers
pillow talk,sylvia
were an american band,grand funk railroad
right place wrong time,dr john
wildflower,skylark
superstition,stevie wonder
loves me like a rock,paul simon
the morning after,maureen mcgovern
rocky mountain high,john denver
stuck in the middle with you,stealers wheel
shambala,three dog night
love train,the ojays
im gonna love you just a little more baby,barry white
say has anybody seen my sweet gypsy rose,tony orlando and dawn
keep on truckin,eddie kendricks
dancing in the moonlight,king harvest
dannys song,anne murray
monster mash,bobby boris pickett and the cryptkickers
natural high,bloodstone
diamond girl,seals and crofts
long train runnin,the doobie brothers
give me love give me peace on earth,george harrison
if you want me to stay,sly  the family stone
daddys home,jermaine jackson
neither one of us wants to be the first to say goodbye,gladys knight  the pips
im doin fine now,new york city
could it be im falling in love,the spinners
daniel,elton john
midnight train to georgia,gladys knight  the pips
smoke on the water,deep purple
the cover of the rolling stone,dr hook  the medicine show
behind closed doors,charlie rich
your mama dont dance,loggins and messina
feelin stronger every day,chicago
the cisco kid,war
live and let die,paul mccartney  wings
oh babe what would you say,hurricane smith
i believe in you you believe in me,johnnie taylor
sing,the carpenters
aint no woman like the one ive got,the four tops
dueling banjos,eric weissberg  steve mandell
higher ground,stevie wonder
here i am come and take me,al green
my maria,bw stevenson
superfly,curtis mayfield
get down,gilbert osullivan
last song,edward bear
reelin in the years,steely dan
hocus pocus,focus
yesterday once more,the carpenters
boogie woogie bugle boy,bette midler
clair,gilbert osullivan
do it again,steely dan
kodachrome,paul simon
why cant we live together,timmy thomas
so very hard to go,tower of power
do you wanna dance,bette midler
rockin pneumonia and the boogie woogie flu,johnny rivers
ramblin man,the allman brothers band
masterpiece,the temptations
peaceful,helen reddy
one of a kind love affair,the spinners
funny face,donna fargo
funky worm,ohio players
angie,the rolling stones
jambalaya on the bayou,blue ridge rangers
dont expect me to be your friend,lobo
break up to make up,the stylistics
daisy a day,jud strunk
also sprach zarathustra 2001,deodato
stir it up,johnny nash
money,pink floyd
gypsy man,war
the world is a ghetto,war
yes we can can,the pointer sisters
free ride,edgar winter group
space oddity,david bowie
it never rains in southern california,albert hammond
the twelfth of never,donny osmond
papa was a rollin stone,the temptations
the way we were,barbra streisand
seasons in the sun,terry jacks
loves theme,love unlimited orchestra
come and get your love,redbone
dancing machine,the jackson 5
the locomotion,grand funk railroad
tsop the sound of philadelphia,mfsb
the streak,ray stevens
bennie and the jets,elton john
one hell of a woman,mac davis
until you come back to me thats what im gonna do,aretha franklin
jungle boogie,kool  the gang
midnight at the oasis,maria muldaur
you make me feel brand new,the stylistics
show and tell,al wilson
spiders and snakes,jim stafford
rock on,david essex
sunshine on my shoulders,john denver
sideshow,blue magic
hooked on a feeling,blue swede
billy dont be a hero,bo donaldson and the heywoods
band on the run,paul mccartney and wings
the most beautiful girl,charlie rich
time in a bottle,jim croce
annies song,john denver
let me be there,olivia newtonjohn
sundown,gordon lightfoot
youre having my baby,paul anka
rock me gently,andy kim
boogie down,eddie kendricks
youre sixteen,ringo starr
if you love me let me know,olivia newtonjohn
dark lady,cher
best thing that ever happened to me,gladys knight  the pips
feel like makin love,roberta flack
just dont want to be lonely,the main ingredient
nothing from nothing,billy preston
rock your baby,george mccrae
top of the world,the carpenters
the joker,steve miller band
ive got to use my imagination,gladys knight  the pips
the show must go on,three dog night
rock the boat,the hues corporation
smokin in the boys room,brownsville station
living for the city,stevie wonder
the night chicago died,paper lace
then came you,dionne warwick  the spinners
the entertainer,marvin hamlisch
waterloo,abba
the air that i breathe,the hollies
rikki dont lose that number,steely dan
mockingbird,carly simon  james taylor
help me,joni mitchell
you wont see me,anne murray
never never gonna give you up,barry white
tell me something good,rufus  chaka khan
you and me against the world,helen reddy
rock and roll heaven,the righteous brothers
hollywood swinging,kool  the gang
be thankful for what you got,william devaughn
hang on in there baby,johnny bristol
eres tu,mocedades
takin care of business,bachmanturner overdrive
radar love,golden earring
please come to boston,dave loggins
keep on smilin,wet willie
lookin for a love,bobby womack
put your hands together,the ojays
on and on,gladys knight  the pips
oh very young,cat stevens
leave me alone ruby red dress,helen reddy
goodbye yellow brick road,elton john
ive been searchin so long,chicago
oh my my,ringo starr
for the love of money,the ojays
i shot the sheriff,eric clapton
jet,paul mccartney and wings
dont let the sun go down on me,elton john
tubular bells,mike oldfield
a love song,anne murray
im leaving it up to you,donny and marie osmond
hello its me,todd rundgren
i love,tom t hall
clap for the wolfman,the guess who featuring wolfman jack
ill have to say i love you in a song,jim croce
the lords prayer,sister janet mead
trying to hold on to my woman,lamont dozier
dont you worry bout a thing,stevie wonder
a very special love song,charlie rich
my girl bill,jim stafford
helen wheels,paul mccartney and wings
my mistake was to love you,diana ross  marvin gaye
wildwood weed,jim stafford
beach baby,the first class
me and baby brother,war
rockin roll baby,the stylistics
i honestly love you,olivia newtonjohn
call on me,chicago
wild thing,fancy
mighty love,the spinners
love will keep us together,captain  tennille
rhinestone cowboy,glen campbell
philadelphia freedom,elton john
before the next teardrop falls,freddy fender
my eyes adored you,frankie valli
shining star,earth wind  fire
fame,david bowie
laughter in the rain,neil sedaka
one of these nights,eagles
thank god im a country boy,john denver
jive talkin,bee gees
best of my love,eagles
lovin you,minnie riperton
kung fu fighting,carl douglas
black water,the doobie brothers
the ballroom blitz,sweet
hey wont you play another somebody done somebody wrong song,bj thomas
he dont love you like i love you,tony orlando and dawn
at seventeen,janis ian
pick up the pieces,average white band
the hustle,van mccoy  the soul city symphony
lady marmalade,labelle
why cant we be friends,war
love wont let me wait,major harris
boogie on reggae woman,stevie wonder
wasted days and wasted nights,freddy fender
fight the power,the isley brothers
angie baby,helen reddy
jackie blue,ozark mountain daredevils
fire,ohio players
magic,pilot
please mr postman,the carpenters
